transaction_id,date,amount,type,description
TXN00143,2024-01-30,61540.98,inflow,Service fee collected
TXN00144,2024-11-29,70795.5,outflow,Insurance premium
TXN00145,2025-07-07,26303.84,outflow,Travel expense
TXN00146,2025-03-31,5439.08,inflow,Project milestone payment
TXN00147,2025-07-06,118908.65,inflow,Consulting fee
TXN00148,2025-04-12,62109.15,outflow,Vendor payment
TXN00149,2025-06-20,14195.21,outflow,Travel expense
TXN00150,2024-11-13,56557.19,outflow,Insurance premium
TXN00151,2025-07-06,59402.79,inflow,Client payment received
TXN00152,2025-03-28,14892.76,inflow,Subscription revenue
TXN00153,2024-09-23,88284.69,inflow,Client payment received
TXN00154,2024-01-01,21280.41,outflow,Software subscription
TXN00155,2024-12-18,12140.08,inflow,Consulting fee
TXN00156,2024-01-09,45195.13,outflow,Insurance premium
TXN00157,2025-05-03,300980.71,inflow,Subscription revenue
TXN00158,2024-10-26,4535.83,outflow,Salary payment
TXN00159,2025-07-15,49306.79,inflow,Subscription revenue
TXN00160,2025-07-28,47398.8,inflow,Invoice settlement
TXN00161,2024-06-16,8748.83,outflow,Vendor payment
TXN00162,2025-01-22,101351.24,inflow,Client payment received
TXN00163,2025-03-08,9196.12,outflow,Travel expense
TXN00164,2025-09-19,23565.89,outflow,Marketing expense
TXN00165,2024-10-18,15733.24,outflow,Travel expense
TXN00166,2024-10-02,16925.13,inflow,Client payment received
TXN00167,2024-07-05,52640.71,inflow,Client payment received
TXN00168,2025-10-14,16203.76,outflow,Insurance premium
TXN00169,2024-10-05,79757.72,outflow,Insurance premium
TXN00170,2024-07-11,37117.82,inflow,Invoice settlement
TXN00171,2024-02-20,43835.48,outflow,Salary payment
TXN00172,2024-07-09,41716.23,outflow,Marketing expense
TXN00173,2024-10-02,155017.07,inflow,Subscription revenue
TXN00174,2024-01-09,27155.09,inflow,Invoice settlement
TXN00175,2024-01-16,19982.01,outflow,Utility bill
TXN00176,2025-03-06,14945.6,inflow,Subscription revenue
TXN00177,2025-01-15,24629.76,outflow,Salary payment
TXN00178,2024-12-04,21227.24,inflow,Invoice settlement
TXN00179,2024-02-27,113074.8,inflow,Subscription revenue
TXN00180,2024-03-14,10581.21,outflow,Software subscription
TXN00181,2024-07-15,15545.51,outflow,Marketing expense
TXN00182,2025-01-25,34062.98,outflow,Rent payment
TXN00183,2024-09-11,60151.8,inflow,Subscription revenue
TXN00184,2024-09-10,8813.27,outflow,Salary payment
TXN00185,2024-07-22,13625.0,outflow,Rent payment
TXN00186,2025-06-17,17216.28,outflow,Office supplies
TXN00187,2025-04-29,30694.06,inflow,Service fee collected
TXN00188,2024-11-26,57493.65,inflow,Project milestone payment
TXN00189,2024-02-13,40288.57,outflow,Travel expense
TXN00190,2025-06-17,31551.42,inflow,Subscription revenue
TXN00191,2025-10-15,51838.81,inflow,Service fee collected
TXN00192,2024-02-23,11753.05,outflow,Office supplies
TXN00193,2024-04-25,162984.38,inflow,Subscription revenue
TXN00194,2024-11-28,71261.84,inflow,Service fee collected
TXN00195,2025-08-21,27308.76,inflow,Invoice settlement
TXN00196,2024-01-10,58887.31,outflow,Insurance premium
TXN00197,2025-12-05,38512.31,outflow,Utility bill
TXN00198,2024-04-01,45249.52,inflow,Subscription revenue
TXN00199,2024-04-03,22110.94,outflow,Utility bill
TXN00200,2025-10-02,130400.44,inflow,Service fee collected
TXN00201,2025-10-22,236920.39,inflow,Consulting fee
TXN00202,2024-04-19,98625.63,inflow,Invoice settlement
TXN00203,2024-11-20,29387.7,outflow,Utility bill
TXN00204,2025-03-25,64314.8,outflow,Salary payment
TXN00205,2025-12-06,36377.08,inflow,Project milestone payment
TXN00206,2024-05-17,15032.66,inflow,Client payment received
TXN00207,2025-05-11,42103.66,outflow,Travel expense
TXN00208,2024-10-28,90650.87,outflow,Insurance premium
TXN00209,2024-07-13,22021.17,outflow,Travel expense
TXN00210,2024-12-22,245420.66,inflow,Subscription revenue
TXN00211,2024-10-08,8973.4,outflow,Travel expense
TXN00212,2024-06-13,33111.75,inflow,Invoice settlement
TXN00213,2025-04-05,15471.51,inflow,Service fee collected
TXN00214,2025-07-08,15173.35,inflow,Client payment received
TXN00215,2025-10-15,27918.22,outflow,Software subscription
TXN00216,2024-01-20,87395.89,outflow,Utility bill
TXN00217,2025-09-27,135605.16,inflow,Project milestone payment
TXN00218,2024-03-05,67255.45,outflow,Travel expense
TXN00219,2025-01-31,56651.5,inflow,Project milestone payment
TXN00220,2025-05-24,17502.82,outflow,Software subscription
TXN00221,2025-09-19,50778.33,inflow,Subscription revenue
TXN00222,2025-10-18,11458.0,inflow,Client payment received
TXN00223,2025-06-19,75814.69,outflow,Salary payment
TXN00224,2024-05-12,6100.9,inflow,Client payment received
TXN00225,2024-07-25,31953.45,inflow,Invoice settlement
TXN00226,2024-04-11,36295.56,inflow,Project milestone payment
TXN00227,2025-02-01,43372.13,outflow,Travel expense
TXN00228,2025-09-30,31303.11,outflow,Marketing expense
TXN00229,2024-02-20,60209.02,inflow,Consulting fee
TXN00230,2024-03-13,3463.24,inflow,Invoice settlement
TXN00231,2025-11-02,25042.32,outflow,Rent payment
TXN00232,2025-04-24,13267.58,outflow,Salary payment
TXN00233,2025-01-04,24819.63,outflow,Vendor payment
TXN00234,2025-01-12,19819.34,outflow,Salary payment
TXN00235,2025-09-23,45315.16,inflow,Client payment received
TXN00236,2024-03-13,8483.52,outflow,Rent payment
TXN00237,2024-08-09,23893.64,outflow,Rent payment
TXN00238,2024-04-13,89298.48,outflow,Travel expense
TXN00239,2025-01-29,305280.57,inflow,Consulting fee
TXN00240,2025-11-03,182171.31,inflow,Project milestone payment
TXN00241,2024-07-02,5096.14,outflow,Travel expense
TXN00242,2025-03-01,17470.36,outflow,Utility bill
TXN00243,2025-11-21,19205.63,outflow,Vendor payment
TXN00244,2024-04-16,42328.61,inflow,Invoice settlement
TXN00245,2025-07-17,136831.31,inflow,Service fee collected
TXN00246,2025-11-04,45082.38,inflow,Consulting fee
TXN00247,2025-03-29,10557.71,outflow,Utility bill
TXN00248,2025-07-17,55781.06,outflow,Utility bill
TXN00249,2025-01-15,52662.94,inflow,Project milestone payment
TXN00250,2025-03-16,40842.91,outflow,Utility bill
TXN00251,2025-09-15,99752.52,inflow,Consulting fee
TXN00252,2024-08-07,25872.51,inflow,Consulting fee
TXN00253,2024-09-17,11145.37,inflow,Subscription revenue
TXN00254,2025-04-03,26204.05,outflow,Salary payment
TXN00255,2024-02-05,16731.45,outflow,Salary payment
TXN00256,2025-06-14,39081.73,inflow,Service fee collected
TXN00257,2024-01-07,149785.48,inflow,Invoice settlement
TXN00258,2024-08-07,25839.34,outflow,Salary payment
TXN00259,2025-12-07,124781.61,outflow,Travel expense
TXN00260,2025-06-07,27880.13,outflow,Software subscription
TXN00261,2024-04-06,27281.79,inflow,Service fee collected
TXN00262,2024-06-08,10296.06,inflow,Service fee collected
TXN00263,2025-08-19,45436.68,inflow,Service fee collected
TXN00264,2024-11-03,18885.86,inflow,Subscription revenue
TXN00265,2025-08-05,33757.7,outflow,Rent payment
TXN00266,2024-11-28,26153.52,outflow,Software subscription
TXN00267,2025-05-14,19598.43,outflow,Rent payment
TXN00268,2025-09-01,23579.23,outflow,Salary payment
TXN00269,2025-08-13,45848.93,inflow,Client payment received
TXN00270,2024-12-08,45622.76,inflow,Subscription revenue
TXN00271,2025-03-02,121700.49,outflow,Rent payment
TXN00272,2024-08-20,11877.03,outflow,Salary payment
TXN00273,2025-10-11,64972.79,outflow,Vendor payment
TXN00274,2024-02-25,127471.56,inflow,Client payment received
TXN00275,2024-11-22,11806.76,outflow,Software subscription
TXN00276,2024-11-30,29957.21,outflow,Office supplies
TXN00277,2024-06-05,51857.14,inflow,Project milestone payment
TXN00278,2025-02-06,25262.44,outflow,Travel expense
TXN00279,2024-04-02,41448.54,inflow,Service fee collected
TXN00280,2025-02-07,67866.25,inflow,Service fee collected
TXN00281,2024-03-25,4116.58,outflow,Salary payment
TXN00282,2025-07-15,32908.29,inflow,Client payment received
TXN00283,2025-02-12,15737.25,outflow,Software subscription
TXN00284,2024-05-18,12388.75,outflow,Office supplies
TXN00285,2025-05-14,87477.9,inflow,Consulting fee
TXN00286,2024-07-19,50297.47,outflow,Travel expense
TXN00287,2024-09-09,113186.76,inflow,Service fee collected
TXN00288,2025-03-16,85079.19,inflow,Consulting fee
TXN00289,2024-04-01,10969.58,inflow,Subscription revenue
TXN00290,2025-03-09,42008.91,inflow,Invoice settlement
TXN00291,2024-11-24,143187.69,inflow,Project milestone payment
TXN00292,2024-01-25,2936.12,outflow,Software subscription
TXN00293,2024-12-24,105128.57,outflow,Insurance premium
TXN00294,2025-09-30,10360.66,inflow,Client payment received
TXN00295,2024-08-27,14917.1,inflow,Service fee collected
TXN00296,2024-06-08,40655.64,outflow,Rent payment
TXN00297,2024-04-25,104749.05,outflow,Office supplies
TXN00298,2025-09-27,10433.11,outflow,Marketing expense
TXN00299,2024-01-15,16555.88,inflow,Client payment received
TXN00300,2024-11-08,78157.21,outflow,Salary payment
TXN00301,2024-12-05,55647.75,inflow,Consulting fee
TXN00302,2024-08-04,28335.34,inflow,Consulting fee
TXN00303,2024-09-21,26051.82,outflow,Software subscription
TXN00304,2025-12-12,164384.51,outflow,Salary payment
TXN00305,2025-01-20,40779.39,outflow,Travel expense
TXN00306,2024-02-14,51807.66,inflow,Client payment received
TXN00307,2024-10-17,84303.26,inflow,Project milestone payment
TXN00308,2025-09-24,55031.04,inflow,Subscription revenue
TXN00309,2025-11-01,59458.41,outflow,Rent payment
TXN00310,2025-02-01,13218.88,outflow,Utility bill
TXN00311,2024-04-20,33925.44,inflow,Project milestone payment
TXN00312,2025-01-30,35600.6,inflow,Subscription revenue
TXN00313,2025-06-04,10496.67,outflow,Rent payment
TXN00314,2024-11-19,11893.62,outflow,Travel expense
TXN00315,2024-03-31,146742.85,inflow,Consulting fee
TXN00316,2025-04-13,38832.37,outflow,Salary payment
TXN00317,2024-02-10,212936.22,inflow,Consulting fee
TXN00318,2024-11-08,78201.31,inflow,Subscription revenue
TXN00319,2024-06-09,49998.49,inflow,Project milestone payment
TXN00320,2024-12-26,38508.32,inflow,Service fee collected
TXN00321,2024-08-29,49345.71,outflow,Travel expense
TXN00322,2024-10-09,10342.93,outflow,Marketing expense
TXN00323,2025-01-31,28104.41,outflow,Salary payment
TXN00324,2025-07-22,46151.64,outflow,Office supplies
TXN00325,2024-06-04,33375.46,inflow,Subscription revenue
TXN00326,2025-11-03,73384.85,inflow,Project milestone payment
TXN00327,2025-01-26,78240.53,outflow,Office supplies
TXN00328,2025-03-03,28859.38,inflow,Invoice settlement
TXN00329,2025-03-12,30817.0,outflow,Utility bill
TXN00330,2025-04-04,49943.11,outflow,Office supplies
TXN00331,2025-10-30,34331.73,inflow,Consulting fee
TXN00332,2025-12-01,12079.02,outflow,Software subscription
TXN00333,2024-11-12,51330.3,outflow,Travel expense
TXN00334,2024-05-18,40769.93,inflow,Invoice settlement
TXN00335,2025-11-02,28032.56,outflow,Software subscription
TXN00336,2024-11-21,55952.14,inflow,Consulting fee
TXN00337,2024-05-01,11138.32,inflow,Invoice settlement
TXN00338,2024-01-31,18035.36,outflow,Vendor payment
TXN00339,2025-02-25,74201.25,inflow,Project milestone payment
TXN00340,2025-10-14,28573.43,outflow,Marketing expense
TXN00341,2024-06-04,14576.56,outflow,Rent payment
TXN00342,2024-05-14,17337.14,inflow,Consulting fee
TXN00343,2025-09-23,47659.29,inflow,Consulting fee
TXN00344,2025-09-19,84234.09,inflow,Invoice settlement
TXN00345,2024-08-24,50050.95,outflow,Utility bill
TXN00346,2024-03-22,14117.46,outflow,Insurance premium
TXN00347,2024-05-17,80817.04,outflow,Insurance premium
TXN00348,2025-12-30,31364.83,outflow,Software subscription
TXN00349,2025-01-31,5932.48,outflow,Software subscription
TXN00350,2024-06-16,40898.91,inflow,Client payment received
TXN00351,2025-02-22,9872.11,outflow,Salary payment
TXN00352,2024-10-03,39727.74,outflow,Office supplies
TXN00353,2025-11-18,35769.86,outflow,Office supplies
TXN00354,2024-03-08,7917.94,inflow,Subscription revenue
TXN00355,2025-09-23,69577.97,outflow,Utility bill
TXN00356,2025-04-13,13146.77,outflow,Vendor payment
TXN00357,2025-02-18,5141.68,outflow,Vendor payment
TXN00358,2024-11-16,169930.02,inflow,Project milestone payment
TXN00359,2025-08-08,35899.6,outflow,Travel expense
TXN00360,2025-10-18,23331.21,outflow,Salary payment
TXN00361,2025-06-17,38116.86,inflow,Subscription revenue
TXN00362,2024-02-13,20065.48,outflow,Office supplies
TXN00363,2025-06-15,6191.5,outflow,Salary payment
TXN00364,2025-07-25,8970.95,inflow,Project milestone payment
TXN00365,2024-02-20,94117.63,inflow,Subscription revenue
TXN00366,2025-02-11,30642.7,outflow,Marketing expense
TXN00367,2025-04-17,90711.81,inflow,Service fee collected
TXN00368,2025-09-19,57880.05,outflow,Travel expense
TXN00369,2024-05-25,1560.61,outflow,Insurance premium
TXN00370,2024-04-02,15896.27,outflow,Rent payment
TXN00371,2024-07-03,8742.33,outflow,Travel expense
TXN00372,2024-05-18,31952.81,inflow,Service fee collected
TXN00373,2025-04-06,5694.96,inflow,Subscription revenue
TXN00374,2025-08-27,35522.04,outflow,Office supplies
TXN00375,2025-04-10,70286.57,inflow,Service fee collected
TXN00376,2025-12-09,176552.35,outflow,Software subscription
TXN00377,2024-05-06,32853.81,inflow,Project milestone payment
TXN00378,2025-04-05,37866.46,outflow,Rent payment
TXN00379,2025-06-20,47870.24,outflow,Travel expense
TXN00380,2025-09-18,87125.45,outflow,Vendor payment
TXN00381,2025-07-17,11715.37,inflow,Invoice settlement
TXN00382,2024-12-09,58603.94,outflow,Software subscription
TXN00383,2024-06-15,30273.59,outflow,Software subscription
TXN00384,2025-12-30,9370.33,inflow,Service fee collected
TXN00385,2024-11-12,41618.11,outflow,Insurance premium
TXN00386,2024-10-22,51825.04,outflow,Rent payment
TXN00387,2024-05-14,5713.67,outflow,Salary payment
TXN00388,2025-09-29,20723.68,outflow,Salary payment
TXN00389,2025-04-14,23454.07,outflow,Insurance premium
TXN00390,2025-07-10,22884.38,outflow,Insurance premium
TXN00391,2024-08-31,67841.88,inflow,Project milestone payment
TXN00392,2025-05-02,13633.72,outflow,Insurance premium
TXN00393,2024-03-22,9175.09,outflow,Salary payment
TXN00394,2024-09-07,32532.1,outflow,Marketing expense
TXN00395,2025-09-26,77466.93,outflow,Office supplies
TXN00396,2024-02-20,162486.28,inflow,Client payment received
TXN00397,2025-10-30,515366.4,inflow,Invoice settlement
TXN00398,2024-02-03,16376.73,outflow,Marketing expense
TXN00399,2024-12-05,25036.1,outflow,Salary payment
TXN00400,2024-04-21,4221.1,inflow,Invoice settlement
TXN00401,2024-06-14,13460.37,outflow,Travel expense
TXN00402,2024-06-30,6221.08,outflow,Utility bill
TXN00403,2024-02-06,25712.9,inflow,Service fee collected
TXN00404,2024-11-26,184286.77,inflow,Subscription revenue
TXN00405,2024-03-10,51630.33,outflow,Travel expense
TXN00406,2024-03-07,26119.42,inflow,Invoice settlement
TXN00407,2024-05-04,13905.05,outflow,Marketing expense
TXN00408,2024-12-03,14949.61,outflow,Travel expense
TXN00409,2024-08-02,43921.12,outflow,Salary payment
TXN00410,2024-04-21,17138.58,outflow,Travel expense
TXN00411,2024-03-30,27204.9,outflow,Marketing expense
TXN00412,2025-03-13,37623.88,outflow,Utility bill
TXN00413,2024-09-22,39870.56,outflow,Utility bill
TXN00414,2024-05-12,2373.0,outflow,Insurance premium
TXN00415,2025-06-16,34497.4,outflow,Insurance premium
TXN00416,2025-05-19,23847.96,outflow,Office supplies
TXN00417,2025-12-26,7780.81,inflow,Invoice settlement
TXN00418,2024-01-02,144578.09,inflow,Subscription revenue
TXN00419,2025-10-02,33543.62,outflow,Office supplies
TXN00420,2025-09-22,6382.52,outflow,Vendor payment
TXN00421,2024-02-16,20283.57,inflow,Consulting fee
TXN00422,2025-10-14,38251.14,inflow,Project milestone payment
TXN00423,2024-07-25,178127.2,outflow,Marketing expense
TXN00424,2024-03-10,15153.39,inflow,Consulting fee
TXN00425,2025-07-17,18235.26,inflow,Client payment received
TXN00426,2024-04-26,25436.59,outflow,Utility bill
TXN00427,2025-02-09,122130.18,outflow,Salary payment
TXN00428,2024-06-28,28798.05,inflow,Service fee collected
TXN00429,2025-11-19,20029.73,outflow,Insurance premium
TXN00430,2024-02-06,25436.76,outflow,Insurance premium
TXN00431,2024-06-08,16916.86,outflow,Travel expense
TXN00432,2024-12-09,21736.42,outflow,Vendor payment
TXN00433,2024-02-27,47568.37,outflow,Marketing expense
TXN00434,2025-08-01,14798.89,outflow,Utility bill
TXN00435,2025-07-22,16632.71,outflow,Office supplies
TXN00436,2025-08-14,49028.31,outflow,Utility bill
TXN00437,2024-03-08,7021.7,outflow,Marketing expense
TXN00438,2024-02-01,25669.69,inflow,Subscription revenue
TXN00439,2025-10-03,7561.71,outflow,Software subscription
TXN00440,2025-08-07,14778.4,outflow,Software subscription
TXN00441,2025-09-01,25572.9,inflow,Service fee collected
TXN00442,2025-12-23,21922.74,outflow,Salary payment
TXN00443,2024-10-05,31955.7,inflow,Subscription revenue
TXN00444,2024-08-31,48090.11,inflow,Service fee collected
TXN00445,2024-08-09,9006.41,outflow,Software subscription
TXN00446,2024-04-24,53642.32,inflow,Client payment received
TXN00447,2024-07-25,14692.39,outflow,Insurance premium
TXN00448,2025-06-02,77511.65,inflow,Subscription revenue
TXN00449,2025-05-27,34120.92,inflow,Service fee collected
TXN00450,2025-05-10,13718.06,outflow,Travel expense
TXN00451,2024-11-13,10037.03,outflow,Software subscription
TXN00452,2024-04-10,27922.21,outflow,Travel expense
TXN00453,2025-11-23,24552.76,outflow,Office supplies
TXN00454,2024-02-07,70979.75,outflow,Travel expense
TXN00455,2024-04-28,169146.99,inflow,Client payment received
TXN00456,2025-12-04,19406.77,outflow,Rent payment
TXN00457,2024-12-07,4343.33,outflow,Salary payment
TXN00458,2024-04-15,44767.05,outflow,Marketing expense
TXN00459,2024-01-24,14390.06,outflow,Marketing expense
TXN00460,2025-10-16,21640.74,outflow,Utility bill
TXN00461,2024-07-24,119934.56,inflow,Service fee collected
TXN00462,2025-06-29,51397.27,inflow,Subscription revenue
TXN00463,2025-11-18,110229.57,inflow,Invoice settlement
TXN00464,2024-06-10,105170.29,inflow,Client payment received
TXN00465,2025-09-29,19251.82,outflow,Rent payment
TXN00466,2024-07-30,38077.89,outflow,Travel expense
TXN00467,2024-11-22,52461.42,inflow,Project milestone payment
TXN00468,2024-10-17,44086.37,outflow,Software subscription
TXN00469,2024-03-13,42433.5,inflow,Service fee collected
TXN00470,2025-07-07,141599.81,inflow,Invoice settlement
TXN00471,2024-01-30,7903.29,outflow,Salary payment
TXN00472,2024-04-18,23531.87,inflow,Client payment received
TXN00473,2025-03-12,33223.53,inflow,Project milestone payment
TXN00474,2025-09-02,24260.09,outflow,Insurance premium
TXN00475,2025-09-23,10070.65,inflow,Service fee collected
TXN00476,2024-07-21,12150.17,outflow,Travel expense
TXN00477,2024-03-21,22687.2,outflow,Insurance premium
TXN00478,2025-08-04,21083.03,inflow,Project milestone payment
TXN00479,2025-04-24,6534.61,inflow,Service fee collected
TXN00480,2025-12-01,21389.53,outflow,Insurance premium
TXN00481,2025-04-26,10791.81,inflow,Invoice settlement
TXN00482,2024-05-27,35623.76,outflow,Marketing expense
TXN00483,2025-01-07,48758.19,inflow,Project milestone payment
TXN00484,2025-11-12,116202.82,inflow,Service fee collected
TXN00485,2025-04-09,26022.42,outflow,Rent payment
